Query	time	cardinality
Q1	2.7189669609	11570
Q2	343.6404709816	14
Q3	0.8968489170	3495
Q4	0.5482711792	495
Q5	1.1199340820	5306
Q6	0.7079751492	1652
Q7	0.4831418991	10
Q8	0.6772859097	1182
Q9	1.0641269684	2867
Q10	0.4834737778	25
Q11	0.5985009670	12
