query	time	cardinality
q17.rq	0.8967559338	3495
q18.rq	0.5499069691	495
q19.rq	1.1199340820	5306
q20.rq	0.7079751492	1652
q23.rq	0.4831418991	10
q25.rq	0.6772859097	1182
q26.rq	1.0641269684	2867
q28.rq	0.4834737778	25
q30.rq	0.5985009670	12
