Q1.sparql	0.297808885574	1.58099007607	11570
Q10.sparql	0.361832857132	4.97900295258	93
Q2.sparql	0.390933036804	39.86064291	119976
q17.rq	0.313303947449	0.703155994415	3495
q18.rq	0.281528949738	0.338726043701	495
q19.rq	0.315803050995	0.955224990845	5306
q20.rq	0.296162843704	0.499288797379	1652
q23.rq	0.24956703186	0.314764022827	10
q25.rq	0.300863981247	0.504002809525	1182
q26.rq	0.255853176117	0.583214044571	2867
q28.rq	0.236872911453	0.242860794067	25
q30.rq	0.226923942566	0.231100082397	12
